mRNA,CKR,HSR,FoldChange,log2FC
LOC_Os01g49410,7.0,170.8,21.475,4.424586226251101
LOC_Os01g49710,0.0,7.8,8.8,3.137503523749935
LOC_Os01g49720,1.6,39.3,15.499999999999998,3.954196310386875
LOC_Os01g50400,4.3,58.1,11.150943396226415,3.4790938656143333
LOC_Os01g50410,11.5,68.7,5.5760000000000005,2.4792305612063363
LOC_Os01g50420,10.4,66.1,5.885964912280701,2.557278942035442
LOC_Os01g50870,21.5,166.5,7.444444444444445,2.89616418901546
LOC_Os01g50890,3.2,18.7,4.69047619047619,2.2297343966776157
LOC_Os01g50900,0.0,12.6,13.6,3.765534746362977
LOC_Os01g50910,2.0,71.2,24.066666666666666,4.588964431278653
LOC_Os01g51030,2.7,172.6,46.91891891891891,5.552097866815529
LOC_Os01g51050,0.0,7.2,8.2,3.035623909730721
LOC_Os01g51690,2.3,34.0,10.606060606060607,3.4068169924738756
LOC_Os01g51870,11.8,57.4,4.5625,2.189824558880017
LOC_Os01g52030,0.0,17.2,18.2,4.185866545311334
LOC_Os01g52060,0.0,39.6,40.6,5.343407822297814
LOC_Os01g52130,0.4,10.7,8.357142857142858,3.0630097975258006
LOC_Os01g52230,7.5,81.2,9.670588235294119,3.273603647543981
LOC_Os01g52260,11.8,183.5,14.4140625,3.8494051009477586
LOC_Os01g52440,0.0,9.3,10.3,3.3645724322958563
LOC_Os01g52594,3.9,35.1,7.36734693877551,2.881145182771963
LOC_Os01g52740,4.2,20.5,4.134615384615384,2.047753131448368
LOC_Os01g53420,7.6,48.1,5.709302325581396,2.5133144596125954
LOC_Os01g53430,1.9,10.8,4.06896551724138,2.0246620542342693
LOC_Os01g53650,0.0,113.8,114.8,6.842978831788326
LOC_Os01g53820,7.9,71.5,8.146067415730336,3.026103753935899
LOC_Os01g54350,10.1,48.2,4.4324324324324325,2.148098638989134
LOC_Os01g54950,0.4,6.1,5.071428571428571,2.342392197447078
LOC_Os01g55240,12.2,70.2,5.3939393939393945,2.4313393116079443
LOC_Os01g55270,3.6,27.9,6.282608695652174,2.651363726443666
LOC_Os01g55510,50.0,357.5,7.029411764705882,2.813403966730409
LOC_Os01g56040,0.0,12.1,13.1,3.711494906650088
LOC_Os01g56080,14.0,202.0,13.533333333333333,3.758445321576658
LOC_Os01g56890,24.5,123.1,4.866666666666666,2.2829339632714984
LOC_Os01g57430,0.0,5.1,6.1,2.608809242675524
LOC_Os01g58290,1.3,15.0,6.9565217391304355,2.7983661388303496
LOC_Os01g58350,0.5,6.3,4.866666666666666,2.2829339632714984
LOC_Os01g58620,18.9,115.3,5.844221105527638,2.5470107609295694
LOC_Os01g58800,0.0,10.3,11.3,3.4982508675278257
LOC_Os01g59100,0.7,6.8,4.588235294117647,2.1979393776119087
LOC_Os01g59950,11.1,59.1,4.966942148760331,2.312357943436591
LOC_Os01g60020,23.5,276.8,11.338775510204082,3.503192944978822
LOC_Os01g60710,0.0,9.8,10.8,3.4329594072761065
