mRNA,CKR,HSR,FoldChange,log2FC
LOC_Os02g38350,25.7,1.9,0.10861423220973783,-3.202714936559982
LOC_Os02g38410,7.2,0.0,0.12195121951219513,-3.035623909730721
LOC_Os02g38820,12.7,0.0,0.07299270072992702,-3.776103988073164
LOC_Os02g38950,3.1,0.0,0.24390243902439027,-2.035623909730721
LOC_Os02g38970,11.3,1.1,0.17073170731707316,-2.5501970825604796
LOC_Os02g39000,3.9,0.0,0.2040816326530612,-2.292781749227846
LOC_Os02g39030,13.4,1.9,0.20138888888888887,-2.3119440063147403
LOC_Os02g39050,14.0,1.3,0.15333333333333332,-2.7052567344388683
LOC_Os02g39100,5.6,0.6,0.24242424242424246,-2.0443941193584534
LOC_Os02g39150,3.3,0.0,0.23255813953488372,-2.1043366598147357
LOC_Os02g39155,3.2,0.0,0.23809523809523808,-2.070389327891398
LOC_Os02g39350,13.5,1.9,0.19999999999999998,-2.3219280948873626
LOC_Os02g39570,9.7,1.3,0.21495327102803738,-2.217905030344134
LOC_Os02g39710,11.3,1.0,0.16260162601626016,-2.6205864104518777
LOC_Os02g39820,19.6,2.7,0.1796116504854369,-2.4770471615542684
LOC_Os02g39930,22.6,1.7,0.11440677966101695,-3.127755547198373
LOC_Os02g40240,5.7,0.0,0.14925373134328357,-2.7441610955704103
LOC_Os02g40430,12.5,1.1,0.15555555555555556,-2.6844981742720706
LOC_Os02g40460,4.5,0.0,0.18181818181818182,-2.4594316186372973
LOC_Os02g40730,20.0,4.0,0.23809523809523808,-2.070389327891398
LOC_Os02g40870,5.5,0.0,0.15384615384615385,-2.700439718141092
LOC_Os02g40880,53.7,10.2,0.20475319926873856,-2.2880421007349527
LOC_Os02g40890,23.0,3.3,0.17916666666666667,-2.4806258409064204
LOC_Os02g41830,3.8,0.0,0.20833333333333334,-2.263034405833794
LOC_Os02g41860,58.5,0.8,0.030252100840336135,-5.046820856752993
LOC_Os02g41904,82.6,0.0,0.011961722488038277,-6.385431037193521
LOC_Os02g42220,14.2,1.4,0.15789473684210525,-2.6629650127224296
LOC_Os02g42330,12.8,2.4,0.24637681159420288,-2.0210616155278296
LOC_Os02g42470,23.8,0.0,0.04032258064516129,-4.632268215499513
LOC_Os02g42560,18.7,1.5,0.12690355329949238,-2.9781956296816516
LOC_Os02g42570,8.5,0.0,0.10526315789473684,-3.2479275134435857
LOC_Os02g42660,6.4,0.8,0.24324324324324323,-2.0395283641866375
LOC_Os02g42740,5.4,0.0,0.15625,-2.678071905112638
LOC_Os02g42810,4.5,0.0,0.18181818181818182,-2.4594316186372973
LOC_Os02g42820,3.1,0.0,0.24390243902439027,-2.035623909730721
LOC_Os02g43130,4.9,0.3,0.22033898305084745,-2.182203331220749
LOC_Os02g43410,78.3,0.3,0.01639344262295082,-5.930737337562886
LOC_Os02g43640,36.6,0.8,0.047872340425531915,-4.3846638502353255
LOC_Os02g43660,55.4,5.1,0.10815602836879432,-3.2088140148359074
LOC_Os02g43740,8.0,0.9,0.2111111111111111,-2.243925582886089
LOC_Os02g43830,23.1,1.8,0.11618257261410787,-3.1055344141723578
LOC_Os02g43870,9.3,1.5,0.24271844660194172,-2.0426443374084937
LOC_Os02g43900,4.2,0.0,0.1923076923076923,-2.37851162325373
LOC_Os02g43970,3.8,0.0,0.20833333333333334,-2.263034405833794
LOC_Os02g44080,133.7,8.7,0.07201187824795843,-3.7956212932751754
LOC_Os02g44108,37.7,2.7,0.09560723514211886,-3.386736390515461
LOC_Os02g44310,402.5,3.9,0.01214374225526642,-6.3636431140499345
LOC_Os02g44550,3.8,0.0,0.20833333333333334,-2.263034405833794
LOC_Os02g44630,195.3,22.7,0.12073357106469688,-3.050101208567912
LOC_Os02g44730,9.7,0.0,0.09345794392523366,-3.4195388915137843
LOC_Os02g44810,9.5,0.0,0.09523809523809523,-3.3923174227787602
LOC_Os02g44860,14.2,0.0,0.06578947368421052,-3.925999418556223
LOC_Os02g45010,15.7,1.0,0.11976047904191617,-3.0617761975866897
LOC_Os02g45310,7.5,0.9,0.22352941176470587,-2.1614634226941165
LOC_Os02g45540,19.3,1.2,0.10837438423645321,-3.2059042985478787
LOC_Os02g45650,4.4,0.3,0.24074074074074073,-2.0544477840223765
LOC_Os02g45890,24.2,3.5,0.17857142857142858,-2.4854268271702415
LOC_Os02g45940,23.7,3.8,0.19433198380566802,-2.3634047308635213
LOC_Os02g46080,15.0,2.2,0.2,-2.321928094887362
LOC_Os02g46100,14.2,0.0,0.06578947368421052,-3.925999418556223
LOC_Os02g46130,19.5,3.6,0.224390243902439,-2.1559181434484334
LOC_Os02g46140,6.7,0.9,0.24675324675324672,-2.018859027251316
LOC_Os02g46260,7.5,0.3,0.15294117647058825,-2.7089512179966095
LOC_Os02g46360,4.4,0.0,0.18518518518518517,-2.4329594072761065
LOC_Os02g46460,52.7,3.6,0.08566108007448789,-3.5452163219284
LOC_Os02g46600,22.4,2.2,0.13675213675213677,-2.8703647195834043
LOC_Os02g46980,3.1,0.0,0.24390243902439027,-2.035623909730721
LOC_Os02g47020,19.5,0.6,0.07804878048780488,-3.679480099505446
LOC_Os02g47130,44.8,0.0,0.02183406113537118,-5.517275693209581
LOC_Os02g47140,106.8,25.6,0.24675324675324678,-2.018859027251316
LOC_Os02g47150,27.7,3.0,0.13937282229965156,-2.8429788317883253
LOC_Os02g47180,40.1,0.0,0.024330900243309,-5.361066488794321
LOC_Os02g47225,35.9,5.5,0.1761517615176152,-2.5051091930319416
LOC_Os02g47220,29.6,4.4,0.17647058823529413,-2.502500340529183
LOC_Os02g47420,7.9,0.8,0.20224719101123595,-2.3058084295240855
LOC_Os02g47590,20.8,4.3,0.24311926605504586,-2.0402638702137272
LOC_Os02g47780,18.0,0.0,0.05263157894736842,-4.247927513443585
LOC_Os02g47850,22.4,3.2,0.17948717948717952,-2.478047296804644
LOC_Os02g47880,72.6,3.3,0.058423913043478264,-4.097297201354915
LOC_Os02g47940,5.8,0.0,0.14705882352941177,-2.765534746362977
LOC_Os02g48060,8.4,0.0,0.10638297872340426,-3.232660756790275
LOC_Os02g48110,17.6,3.0,0.2150537634408602,-2.2172307162206693
LOC_Os02g48122,10.5,0.0,0.08695652173913043,-3.523561956057013
LOC_Os02g48290,32.8,6.9,0.2337278106508876,-2.0970986881050813
LOC_Os02g48360,19.3,0.8,0.08866995073891626,-3.495410915742864
LOC_Os02g48380,11.2,1.9,0.2377049180327869,-2.072756342435314
LOC_Os02g48390,105.6,2.4,0.03189493433395873,-4.970528881508836
