mRNA	CKR
LOC_Os01g06240	0
LOC_Os01g06250	4.9
LOC_Os01g06260	0
LOC_Os01g06270	6.3
LOC_Os01g06290	42.5
LOC_Os01g06280	22.7
LOC_Os01g06300	0
LOC_Os01g06310	0.5
LOC_Os01g06320	0
LOC_Os01g06330	0
LOC_Os01g06340	0
LOC_Os01g06350	0
LOC_Os01g06360	0
LOC_Os01g06370	0
LOC_Os01g06380	0
LOC_Os01g06390	0
LOC_Os01g06400	0
LOC_Os01g06410	0
LOC_Os01g06420	0
LOC_Os01g06430	0
LOC_Os01g06440	1.1
LOC_Os01g06450	6.5
LOC_Os01g06454	0.6
LOC_Os01g06460	27.7
LOC_Os01g06470	11.7
LOC_Os01g06490	18
LOC_Os01g06500	1.4
LOC_Os01g06510	5.3
LOC_Os01g06520	7.2
LOC_Os01g06530	0.2
LOC_Os01g06540	0
LOC_Os01g06550	7.2
LOC_Os01g06560	10.5
LOC_Os01g06570	0
LOC_Os01g06580	29.7
LOC_Os01g06590	13.1
LOC_Os01g06600	13.1
LOC_Os01g06610	0
LOC_Os01g06620	0
LOC_Os01g06630	0
LOC_Os01g06640	14
LOC_Os01g06650	0
LOC_Os01g06660	6.3
LOC_Os01g06670	0
LOC_Os01g06680	2.4
LOC_Os01g06690	0
LOC_Os01g06700	0
LOC_Os01g06710	0
LOC_Os01g06720	0
LOC_Os01g06730	1
LOC_Os01g06740	4.8
LOC_Os01g06750	0
LOC_Os01g06760	0
LOC_Os01g06770	0
LOC_Os01g06780	0
LOC_Os01g06790	0
LOC_Os01g06800	0
LOC_Os01g06810	0
LOC_Os01g06820	0
LOC_Os01g06836	0
LOC_Os01g06852	0
LOC_Os01g06870	1.1
LOC_Os01g06876	2.3
LOC_Os01g06882	2.6
LOC_Os01g06890	0
LOC_Os01g06900	1.9
LOC_Os01g06910	3.3
LOC_Os01g06920	0.2
LOC_Os01g06940	0
LOC_Os01g06950	0
LOC_Os01g06960	0
LOC_Os01g06970	0
LOC_Os01g06980	0
LOC_Os01g06990	14.9
LOC_Os01g07000	0
LOC_Os01g07010	0
LOC_Os01g07020	0
LOC_Os01g07030	9.3
LOC_Os01g07040	4.1
LOC_Os01g07050	9
LOC_Os01g07060	34.3
LOC_Os01g07070	9.9
LOC_Os01g07080	8.3
LOC_Os01g07090	5.1
LOC_Os01g07100	3.1
LOC_Os01g07110	1.5
LOC_Os01g07130	4.6
LOC_Os01g07120	11.6
LOC_Os01g07140	3.4
LOC_Os01g07150	6.8
LOC_Os01g07160	0
LOC_Os01g07170	1.7
LOC_Os01g07180	0
LOC_Os01g07190	0
LOC_Os01g07200	11.5
LOC_Os01g07212	1.6
LOC_Os01g07224	0
LOC_Os01g07240	18.2
LOC_Os01g07250	7.3
LOC_Os01g07260	4.5
LOC_Os01g07270	2.2
LOC_Os01g07280	1.2
LOC_Os01g07289	0
LOC_Os01g07300	13.2
LOC_Os01g07310	50.2
LOC_Os01g07320	4.1
LOC_Os01g07330	1.2
LOC_Os01g07340	3.5
LOC_Os01g07350	1.2
LOC_Os01g07360	5.6
LOC_Os01g07364	0
LOC_Os01g07370	32.9
LOC_Os01g07376	9.6
LOC_Os01g07382	13.6
LOC_Os01g07390	12.9
LOC_Os01g07400	5.5
LOC_Os01g07410	8.6
LOC_Os01g07420	26.5
LOC_Os01g07430	0
LOC_Os01g07439	0
LOC_Os01g07450	4.7
LOC_Os01g07460	0
LOC_Os01g07470	0
LOC_Os01g07480	3.6
LOC_Os01g07490	8.4
LOC_Os01g07500	13.1
LOC_Os01g07510	0
LOC_Os01g07520	21.5
LOC_Os01g07530	30.8
LOC_Os01g07540	0.6
LOC_Os01g07550	0
LOC_Os01g07560	36.2
LOC_Os01g07570	5.1
LOC_Os01g07579	0
LOC_Os01g07590	3
LOC_Os01g07600	0.4
LOC_Os01g07610	1.9
LOC_Os01g07620	0
LOC_Os01g07630	9.5
LOC_Os01g07640	0.2
LOC_Os01g07650	0
LOC_Os01g07660	0
LOC_Os01g07670	0
LOC_Os01g07680	0
LOC_Os01g07700	5.2
LOC_Os01g07710	0
LOC_Os01g07720	10.7
LOC_Os01g07730	4.8
LOC_Os01g07740	10.4
LOC_Os01g07750	6.3
LOC_Os01g07760	96.5
LOC_Os01g07770	14.5
LOC_Os01g07780	41.7
LOC_Os01g07800	0.8
LOC_Os01g07790	0.9
LOC_Os01g07810	34.8
LOC_Os01g07820	0
LOC_Os01g07830	0
LOC_Os01g07840	0
LOC_Os01g07850	1.8
LOC_Os01g07860	0
LOC_Os01g07870	15.6
LOC_Os01g07880	28.1
LOC_Os01g07890	5.7
LOC_Os01g07900	0
LOC_Os01g07910	6.9
LOC_Os01g07920	2.8
LOC_Os01g07930	0
LOC_Os01g07940	0.8
LOC_Os01g07950	3
LOC_Os01g07960	16.6
LOC_Os01g07970	68.3
LOC_Os01g07980	0
LOC_Os01g07990	0
LOC_Os01g08000	0.2
LOC_Os01g08020	0
LOC_Os01g08010	2.5
LOC_Os01g08050	1.8
LOC_Os01g08060	0
LOC_Os01g08070	0
LOC_Os01g08080	0.3
